date,facility_id,customer_id,sanction_limit_inr,drawing_power_inr,outstanding_inr,available_limit_inr,utilization_pct,over_limit_flag,days_over_85_pct_rolling_30,interest_serviced_flag,utilization_reason_tag,dp_shortfall_inr,source_system
2025-04-16,FAC-B-CC-001,CTB-RTL-002,300000,300000,247642.36,52357.64,82.5,N,0,,Revolving / stress,,
2025-04-17,FAC-B-CC-001,CTB-RTL-002,300000,300000,243378.15,56621.85,81.1,N,0,,Revolving / stress,,
2025-04-18,FAC-B-CC-001,CTB-RTL-002,300000,300000,239685.05,60314.95,79.9,N,0,,Revolving / stress,,
2025-04-19,FAC-B-CC-001,CTB-RTL-002,300000,300000,247967.23,52032.77,82.7,N,0,,Revolving / stress,,
2025-04-20,FAC-B-CC-001,CTB-RTL-002,300000,300000,246677.57,53322.43,82.2,N,0,,Revolving / stress,,
2025-04-21,FAC-B-CC-001,CTB-RTL-002,300000,300000,235181.29,64818.71,78.4,N,0,,Revolving / stress,,
2025-04-22,FAC-B-CC-001,CTB-RTL-002,300000,300000,241621.78,58378.22,80.5,N,0,,Revolving / stress,,
2025-04-23,FAC-B-CC-001,CTB-RTL-002,300000,300000,239873.73,60126.27,80.0,N,0,,Revolving / stress,,
2025-04-24,FAC-B-CC-001,CTB-RTL-002,300000,300000,235181.44,64818.56,78.4,N,0,,Revolving / stress,,
2025-04-25,FAC-B-CC-001,CTB-RTL-002,300000,300000,246708.75,53291.25,82.2,N,0,,Revolving / stress,,
2025-04-26,FAC-B-CC-001,CTB-RTL-002,300000,300000,245850.97,54149.03,82.0,N,0,,Revolving / stress,,
2025-04-27,FAC-B-CC-001,CTB-RTL-002,300000,300000,235426.88,64573.12,78.5,N,0,,Revolving / stress,,
2025-04-28,FAC-B-CC-001,CTB-RTL-002,300000,300000,236949.02,63050.98,79.0,N,0,,Revolving / stress,,
2025-04-29,FAC-B-CC-001,CTB-RTL-002,300000,300000,234875.35,65124.65,78.3,N,0,,Revolving / stress,,
2025-04-30,FAC-B-CC-001,CTB-RTL-002,300000,300000,241828.73,58171.27,80.6,N,0,Y,Revolving / stress,,
2025-05-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,237818.29,62181.71,79.3,N,0,,Revolving / stress,,
2025-05-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,238654.07,61345.93,79.6,N,0,,Revolving / stress,,
2025-05-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,246751.5,53248.5,82.3,N,0,,Revolving / stress,,
2025-05-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,254408.53,45591.47,84.8,N,0,,Revolving / stress,,
2025-05-05,FAC-B-CC-001,CTB-RTL-002,300000,300000,240640.18,59359.82,80.2,N,0,,Revolving / stress,,
2025-05-06,FAC-B-CC-001,CTB-RTL-002,300000,300000,245018.55,54981.45,81.7,N,0,,Revolving / stress,,
2025-05-07,FAC-B-CC-001,CTB-RTL-002,300000,300000,249035.32,50964.68,83.0,N,0,,Revolving / stress,,
2025-05-08,FAC-B-CC-001,CTB-RTL-002,300000,300000,239547.54,60452.46,79.8,N,0,,Revolving / stress,,
2025-05-09,FAC-B-CC-001,CTB-RTL-002,300000,300000,242002.13,57997.87,80.7,N,0,,Revolving / stress,,
2025-05-10,FAC-B-CC-001,CTB-RTL-002,300000,300000,239890.28,60109.72,80.0,N,0,,Revolving / stress,,
2025-05-11,FAC-B-CC-001,CTB-RTL-002,300000,300000,239754.3,60245.7,79.9,N,0,,Revolving / stress,,
2025-05-12,FAC-B-CC-001,CTB-RTL-002,300000,300000,254471.21,45528.79,84.8,N,0,,Revolving / stress,,
2025-05-13,FAC-B-CC-001,CTB-RTL-002,300000,300000,242039.86,57960.14,80.7,N,0,,Revolving / stress,,
2025-05-14,FAC-B-CC-001,CTB-RTL-002,300000,300000,240926.12,59073.88,80.3,N,0,,Revolving / stress,,
2025-05-15,FAC-B-CC-001,CTB-RTL-002,300000,300000,239556.1,60443.9,79.9,N,0,,Revolving / stress,,
2025-05-16,FAC-B-CC-001,CTB-RTL-002,300000,300000,239593.11,60406.89,79.9,N,0,,Revolving / stress,,
2025-05-17,FAC-B-CC-001,CTB-RTL-002,300000,300000,252646.58,47353.42,84.2,N,0,,Revolving / stress,,
2025-05-18,FAC-B-CC-001,CTB-RTL-002,300000,300000,245090.32,54909.68,81.7,N,0,,Revolving / stress,,
2025-05-19,FAC-B-CC-001,CTB-RTL-002,300000,300000,246448.61,53551.39,82.1,N,0,,Revolving / stress,,
2025-05-20,FAC-B-CC-001,CTB-RTL-002,300000,300000,240458.06,59541.94,80.2,N,0,,Revolving / stress,,
2025-05-21,FAC-B-CC-001,CTB-RTL-002,300000,300000,242465.45,57534.55,80.8,N,0,,Revolving / stress,,
2025-05-22,FAC-B-CC-001,CTB-RTL-002,300000,300000,253553.07,46446.93,84.5,N,0,,Revolving / stress,,
2025-05-23,FAC-B-CC-001,CTB-RTL-002,300000,300000,244437.26,55562.74,81.5,N,0,,Revolving / stress,,
2025-05-24,FAC-B-CC-001,CTB-RTL-002,300000,300000,253118.1,46881.9,84.4,N,0,,Revolving / stress,,
2025-05-25,FAC-B-CC-001,CTB-RTL-002,300000,300000,241828.25,58171.75,80.6,N,0,,Revolving / stress,,
2025-05-26,FAC-B-CC-001,CTB-RTL-002,300000,300000,245503.6,54496.4,81.8,N,0,,Revolving / stress,,
2025-05-27,FAC-B-CC-001,CTB-RTL-002,300000,300000,241408.66,58591.34,80.5,N,0,,Revolving / stress,,
2025-05-28,FAC-B-CC-001,CTB-RTL-002,300000,300000,248322.53,51677.47,82.8,N,0,,Revolving / stress,,
2025-05-29,FAC-B-CC-001,CTB-RTL-002,300000,300000,251046.01,48953.99,83.7,N,0,,Revolving / stress,,
2025-05-30,FAC-B-CC-001,CTB-RTL-002,300000,300000,244122.08,55877.92,81.4,N,0,,Revolving / stress,,
2025-05-31,FAC-B-CC-001,CTB-RTL-002,300000,300000,239029.96,60970.04,79.7,N,0,Y,Revolving / stress,,
2025-06-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,259651.81,40348.19,86.6,N,1,,Revolving / stress,,
2025-06-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,246771.96,53228.04,82.3,N,1,,Revolving / stress,,
2025-06-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,256010.44,43989.56,85.3,N,2,,Revolving / stress,,
2025-06-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,259085.75,40914.25,86.4,N,3,,Revolving / stress,,
2025-06-05,FAC-B-CC-001,CTB-RTL-002,300000,300000,246154.88,53845.12,82.1,N,3,,Revolving / stress,,
2025-06-06,FAC-B-CC-001,CTB-RTL-002,300000,300000,253124.91,46875.09,84.4,N,3,,Revolving / stress,,
2025-06-07,FAC-B-CC-001,CTB-RTL-002,300000,300000,262420.65,37579.35,87.5,N,4,,Revolving / stress,,
2025-06-08,FAC-B-CC-001,CTB-RTL-002,300000,300000,247914.01,52085.99,82.6,N,4,,Revolving / stress,,
2025-06-09,FAC-B-CC-001,CTB-RTL-002,300000,300000,252373.7,47626.3,84.1,N,4,,Revolving / stress,,
2025-06-10,FAC-B-CC-001,CTB-RTL-002,300000,300000,255943.73,44056.27,85.3,N,5,,Revolving / stress,,
2025-06-11,FAC-B-CC-001,CTB-RTL-002,300000,300000,248906.8,51093.2,83.0,N,5,,Revolving / stress,,
2025-06-12,FAC-B-CC-001,CTB-RTL-002,300000,300000,250396.99,49603.01,83.5,N,5,,Revolving / stress,,
2025-06-13,FAC-B-CC-001,CTB-RTL-002,300000,300000,263393.77,36606.23,87.8,N,6,,Revolving / stress,,
2025-06-14,FAC-B-CC-001,CTB-RTL-002,300000,300000,253127.09,46872.91,84.4,N,6,,Revolving / stress,,
2025-06-15,FAC-B-CC-001,CTB-RTL-002,300000,300000,259724.21,40275.79,86.6,N,7,,Revolving / stress,,
2025-06-16,FAC-B-CC-001,CTB-RTL-002,300000,300000,254698.67,45301.33,84.9,N,7,,Revolving / stress,,
2025-06-17,FAC-B-CC-001,CTB-RTL-002,300000,300000,251481.16,48518.84,83.8,N,7,,Revolving / stress,,
2025-06-18,FAC-B-CC-001,CTB-RTL-002,300000,300000,257862.32,42137.68,86.0,N,8,,Revolving / stress,,
2025-06-19,FAC-B-CC-001,CTB-RTL-002,300000,300000,263592.56,36407.44,87.9,N,9,,Revolving / stress,,
2025-06-20,FAC-B-CC-001,CTB-RTL-002,300000,300000,259924.56,40075.44,86.6,N,10,,Revolving / stress,,
2025-06-21,FAC-B-CC-001,CTB-RTL-002,300000,300000,258400.38,41599.62,86.1,N,11,,Revolving / stress,,
2025-06-22,FAC-B-CC-001,CTB-RTL-002,300000,300000,258739.38,41260.62,86.2,N,12,,Revolving / stress,,
2025-06-23,FAC-B-CC-001,CTB-RTL-002,300000,300000,250315.42,49684.58,83.4,N,12,,Revolving / stress,,
2025-06-24,FAC-B-CC-001,CTB-RTL-002,300000,300000,261978.95,38021.05,87.3,N,13,,Revolving / stress,,
2025-06-25,FAC-B-CC-001,CTB-RTL-002,300000,300000,262611.33,37388.67,87.5,N,14,,Revolving / stress,,
2025-06-26,FAC-B-CC-001,CTB-RTL-002,300000,300000,259638.74,40361.26,86.5,N,15,,Revolving / stress,,
2025-06-27,FAC-B-CC-001,CTB-RTL-002,300000,300000,259691.05,40308.95,86.6,N,16,,Revolving / stress,,
2025-06-28,FAC-B-CC-001,CTB-RTL-002,300000,300000,250448.67,49551.33,83.5,N,16,,Revolving / stress,,
2025-06-29,FAC-B-CC-001,CTB-RTL-002,300000,300000,258698.83,41301.17,86.2,N,17,,Revolving / stress,,
2025-06-30,FAC-B-CC-001,CTB-RTL-002,300000,300000,246202.34,53797.66,82.1,N,17,Y,Revolving / stress,,
2025-07-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,257438.56,42561.44,85.8,N,17,,Revolving / stress,,
2025-07-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,257310.53,42689.47,85.8,N,18,,Revolving / stress,,
2025-07-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,262038.59,37961.41,87.3,N,18,,Revolving / stress,,
2025-07-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,256169.62,43830.38,85.4,N,18,,Revolving / stress,,
2025-07-05,FAC-B-CC-001,CTB-RTL-002,300000,300000,269071.82,30928.18,89.7,N,19,,Revolving / stress,,
2025-07-06,FAC-B-CC-001,CTB-RTL-002,300000,300000,262875.19,37124.81,87.6,N,20,,Revolving / stress,,
2025-07-07,FAC-B-CC-001,CTB-RTL-002,300000,300000,257758.36,42241.64,85.9,N,20,,Revolving / stress,,
2025-07-08,FAC-B-CC-001,CTB-RTL-002,300000,300000,260755.0,39245.0,86.9,N,21,,Revolving / stress,,
2025-07-09,FAC-B-CC-001,CTB-RTL-002,300000,300000,257909.55,42090.45,86.0,N,22,,Revolving / stress,,
2025-07-10,FAC-B-CC-001,CTB-RTL-002,300000,300000,262043.69,37956.31,87.3,N,22,,Revolving / stress,,
2025-07-11,FAC-B-CC-001,CTB-RTL-002,300000,300000,269903.33,30096.67,90.0,N,23,,Revolving / stress,,
2025-07-12,FAC-B-CC-001,CTB-RTL-002,300000,300000,266395.53,33604.47,88.8,N,24,,Revolving / stress,,
2025-07-13,FAC-B-CC-001,CTB-RTL-002,300000,300000,272610.41,27389.59,90.9,N,24,,Revolving / stress,,
2025-07-14,FAC-B-CC-001,CTB-RTL-002,300000,300000,260254.25,39745.75,86.8,N,25,,Revolving / stress,,
2025-07-15,FAC-B-CC-001,CTB-RTL-002,300000,300000,259240.91,40759.09,86.4,N,25,,Revolving / stress,,
2025-07-16,FAC-B-CC-001,CTB-RTL-002,300000,300000,270593.55,29406.45,90.2,N,26,,Revolving / stress,,
2025-07-17,FAC-B-CC-001,CTB-RTL-002,300000,300000,264579.96,35420.04,88.2,N,27,,Revolving / stress,,
2025-07-18,FAC-B-CC-001,CTB-RTL-002,300000,300000,272603.63,27396.37,90.9,N,27,,Revolving / stress,,
2025-07-19,FAC-B-CC-001,CTB-RTL-002,300000,300000,265584.02,34415.98,88.5,N,27,,Revolving / stress,,
2025-07-20,FAC-B-CC-001,CTB-RTL-002,300000,300000,259862.37,40137.63,86.6,N,27,,Revolving / stress,,
2025-07-21,FAC-B-CC-001,CTB-RTL-002,300000,300000,271645.57,28354.43,90.5,N,27,,Revolving / stress,,
2025-07-22,FAC-B-CC-001,CTB-RTL-002,300000,300000,258300.43,41699.57,86.1,N,27,,Revolving / stress,,
2025-07-23,FAC-B-CC-001,CTB-RTL-002,300000,300000,266539.82,33460.18,88.8,N,28,,Revolving / stress,,
2025-07-24,FAC-B-CC-001,CTB-RTL-002,300000,300000,270930.28,29069.72,90.3,N,28,,Revolving / stress,,
2025-07-25,FAC-B-CC-001,CTB-RTL-002,300000,300000,270223.37,29776.63,90.1,N,28,,Revolving / stress,,
2025-07-26,FAC-B-CC-001,CTB-RTL-002,300000,300000,270724.42,29275.58,90.2,N,28,,Revolving / stress,,
2025-07-27,FAC-B-CC-001,CTB-RTL-002,300000,300000,258827.77,41172.23,86.3,N,28,,Revolving / stress,,
2025-07-28,FAC-B-CC-001,CTB-RTL-002,300000,300000,271769.74,28230.26,90.6,N,29,,Revolving / stress,,
2025-07-29,FAC-B-CC-001,CTB-RTL-002,300000,300000,269269.35,30730.65,89.8,N,29,,Revolving / stress,,
2025-07-30,FAC-B-CC-001,CTB-RTL-002,300000,300000,255904.7,44095.3,85.3,N,30,,Revolving / stress,,
2025-07-31,FAC-B-CC-001,CTB-RTL-002,300000,300000,261968.14,38031.86,87.3,N,30,Y,Revolving / stress,,
2025-08-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,261353.31,38646.69,87.1,N,30,,Revolving / stress,,
2025-08-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,276514.37,23485.63,92.2,N,30,,Revolving / stress,,
2025-08-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,276305.77,23694.23,92.1,N,30,,Revolving / stress,,
2025-08-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,263665.14,36334.86,87.9,N,30,,Revolving / stress,,
2025-08-05,FAC-B-CC-001,CTB-RTL-002,300000,300000,278605.74,21394.26,92.9,N,30,,Revolving / stress,,
2025-08-06,FAC-B-CC-001,CTB-RTL-002,300000,300000,265333.66,34666.34,88.4,N,30,,Revolving / stress,,
2025-08-07,FAC-B-CC-001,CTB-RTL-002,300000,300000,269661.37,30338.63,89.9,N,30,,Revolving / stress,,
2025-08-08,FAC-B-CC-001,CTB-RTL-002,300000,300000,278539.3,21460.7,92.8,N,30,,Revolving / stress,,
2025-08-09,FAC-B-CC-001,CTB-RTL-002,300000,300000,268215.62,31784.38,89.4,N,30,,Revolving / stress,,
2025-08-10,FAC-B-CC-001,CTB-RTL-002,300000,300000,270172.29,29827.71,90.1,N,30,,Revolving / stress,,
2025-08-11,FAC-B-CC-001,CTB-RTL-002,300000,300000,278830.59,21169.41,92.9,N,30,,Revolving / stress,,
2025-08-12,FAC-B-CC-001,CTB-RTL-002,300000,300000,263645.65,36354.35,87.9,N,30,,Revolving / stress,,
2025-08-13,FAC-B-CC-001,CTB-RTL-002,300000,300000,272630.03,27369.97,90.9,N,30,,Revolving / stress,,
2025-08-14,FAC-B-CC-001,CTB-RTL-002,300000,300000,271330.91,28669.09,90.4,N,30,,Revolving / stress,,
2025-08-15,FAC-B-CC-001,CTB-RTL-002,300000,300000,262085.59,37914.41,87.4,N,30,,Revolving / stress,,
2025-08-16,FAC-B-CC-001,CTB-RTL-002,300000,300000,278821.13,21178.87,92.9,N,30,,Revolving / stress,,
2025-08-17,FAC-B-CC-001,CTB-RTL-002,300000,300000,274286.44,25713.56,91.4,N,30,,Revolving / stress,,
2025-08-18,FAC-B-CC-001,CTB-RTL-002,300000,300000,266163.44,33836.56,88.7,N,30,,Revolving / stress,,
2025-08-19,FAC-B-CC-001,CTB-RTL-002,300000,300000,273577.91,26422.09,91.2,N,30,,Revolving / stress,,
2025-08-20,FAC-B-CC-001,CTB-RTL-002,300000,300000,273106.06,26893.94,91.0,N,30,,Revolving / stress,,
2025-08-21,FAC-B-CC-001,CTB-RTL-002,300000,300000,276438.79,23561.21,92.1,N,30,,Revolving / stress,,
2025-08-22,FAC-B-CC-001,CTB-RTL-002,300000,300000,269701.2,30298.8,89.9,N,30,,Revolving / stress,,
2025-08-23,FAC-B-CC-001,CTB-RTL-002,300000,300000,264307.39,35692.61,88.1,N,30,,Revolving / stress,,
2025-08-24,FAC-B-CC-001,CTB-RTL-002,300000,300000,278032.43,21967.57,92.7,N,30,,Revolving / stress,,
2025-08-25,FAC-B-CC-001,CTB-RTL-002,300000,300000,273312.32,26687.68,91.1,N,30,,Revolving / stress,,
2025-08-26,FAC-B-CC-001,CTB-RTL-002,300000,300000,277102.24,22897.76,92.4,N,30,,Revolving / stress,,
2025-08-27,FAC-B-CC-001,CTB-RTL-002,300000,300000,273691.98,26308.02,91.2,N,30,,Revolving / stress,,
2025-08-28,FAC-B-CC-001,CTB-RTL-002,300000,300000,274774.5,25225.5,91.6,N,30,,Revolving / stress,,
2025-08-29,FAC-B-CC-001,CTB-RTL-002,300000,300000,262629.09,37370.91,87.5,N,30,,Revolving / stress,,
2025-08-30,FAC-B-CC-001,CTB-RTL-002,300000,300000,273899.35,26100.65,91.3,N,30,,Revolving / stress,,
2025-08-31,FAC-B-CC-001,CTB-RTL-002,300000,300000,275839.37,24160.63,91.9,N,30,Y,Revolving / stress,,
2025-09-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,279042.46,20957.54,93.0,N,30,,Revolving / stress,,
2025-09-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,284186.42,15813.58,94.7,N,30,,Revolving / stress,,
2025-09-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,271061.78,28938.22,90.4,N,30,,Revolving / stress,,
2025-09-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,271236.18,28763.82,90.4,N,30,,Revolving / stress,,
2025-09-05,FAC-B-CC-001,CTB-RTL-002,300000,300000,278138.09,21861.91,92.7,N,30,,Revolving / stress,,
2025-09-06,FAC-B-CC-001,CTB-RTL-002,300000,300000,268458.72,31541.28,89.5,N,30,,Revolving / stress,,
2025-09-07,FAC-B-CC-001,CTB-RTL-002,300000,300000,282012.59,17987.41,94.0,N,30,,Revolving / stress,,
2025-09-08,FAC-B-CC-001,CTB-RTL-002,300000,300000,288690.29,11309.71,96.2,N,30,,Revolving / stress,,
2025-09-09,FAC-B-CC-001,CTB-RTL-002,300000,300000,268069.67,31930.33,89.4,N,30,,Revolving / stress,,
2025-09-10,FAC-B-CC-001,CTB-RTL-002,300000,300000,277185.34,22814.66,92.4,N,30,,Revolving / stress,,
2025-09-11,FAC-B-CC-001,CTB-RTL-002,300000,300000,282893.16,17106.84,94.3,N,30,,Revolving / stress,,
2025-09-12,FAC-B-CC-001,CTB-RTL-002,300000,300000,282328.0,17672.0,94.1,N,30,,Revolving / stress,,
2025-09-13,FAC-B-CC-001,CTB-RTL-002,300000,300000,280914.14,19085.86,93.6,N,30,,Revolving / stress,,
2025-09-14,FAC-B-CC-001,CTB-RTL-002,300000,300000,281906.51,18093.49,94.0,N,30,,Revolving / stress,,
2025-09-15,FAC-B-CC-001,CTB-RTL-002,300000,300000,283179.28,16820.72,94.4,N,30,,Revolving / stress,,
2025-09-16,FAC-B-CC-001,CTB-RTL-002,300000,300000,284194.7,15805.3,94.7,N,30,,Revolving / stress,,
2025-09-17,FAC-B-CC-001,CTB-RTL-002,300000,300000,282844.71,17155.29,94.3,N,30,,Revolving / stress,,
2025-09-18,FAC-B-CC-001,CTB-RTL-002,300000,300000,280602.92,19397.08,93.5,N,30,,Revolving / stress,,
2025-09-19,FAC-B-CC-001,CTB-RTL-002,300000,300000,279020.45,20979.55,93.0,N,30,,Revolving / stress,,
2025-09-20,FAC-B-CC-001,CTB-RTL-002,300000,300000,272946.94,27053.06,91.0,N,30,,Revolving / stress,,
2025-09-21,FAC-B-CC-001,CTB-RTL-002,300000,300000,273301.89,26698.11,91.1,N,30,,Revolving / stress,,
2025-09-22,FAC-B-CC-001,CTB-RTL-002,300000,300000,272750.33,27249.67,90.9,N,30,,Revolving / stress,,
2025-09-23,FAC-B-CC-001,CTB-RTL-002,300000,300000,275935.68,24064.32,92.0,N,30,,Revolving / stress,,
2025-09-24,FAC-B-CC-001,CTB-RTL-002,300000,300000,283567.66,16432.34,94.5,N,30,,Revolving / stress,,
2025-09-25,FAC-B-CC-001,CTB-RTL-002,300000,300000,276022.0,23978.0,92.0,N,30,,Revolving / stress,,
2025-09-26,FAC-B-CC-001,CTB-RTL-002,300000,300000,280903.42,19096.58,93.6,N,30,,Revolving / stress,,
2025-09-27,FAC-B-CC-001,CTB-RTL-002,300000,300000,282263.33,17736.67,94.1,N,30,,Revolving / stress,,
2025-09-28,FAC-B-CC-001,CTB-RTL-002,300000,300000,277354.78,22645.22,92.5,N,30,,Revolving / stress,,
2025-09-29,FAC-B-CC-001,CTB-RTL-002,300000,300000,289873.79,10126.21,96.6,N,30,,Revolving / stress,,
2025-09-30,FAC-B-CC-001,CTB-RTL-002,300000,300000,269845.55,30154.45,89.9,N,30,Y,Revolving / stress,,
2025-10-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,274486.88,25513.12,91.5,N,30,,Revolving / stress,,
2025-10-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,273515.76,26484.24,91.2,N,30,,Revolving / stress,,
2025-10-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,275756.05,24243.95,91.9,N,30,,Revolving / stress,,
2025-10-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,273061.29,26938.71,91.0,N,30,,Revolving / stress,,
2025-10-05,FAC-B-CC-001,CTB-RTL-002,300000,300000,283524.91,16475.09,94.5,N,30,,Revolving / stress,,
2025-10-06,FAC-B-CC-001,CTB-RTL-002,300000,300000,283497.9,16502.1,94.5,N,30,,Revolving / stress,,
2025-10-07,FAC-B-CC-001,CTB-RTL-002,300000,300000,278312.48,21687.52,92.8,N,30,,Revolving / stress,,
2025-10-08,FAC-B-CC-001,CTB-RTL-002,300000,300000,275725.58,24274.42,91.9,N,30,,Revolving / stress,,
2025-10-09,FAC-B-CC-001,CTB-RTL-002,300000,300000,275812.74,24187.26,91.9,N,30,,Revolving / stress,,
2025-10-10,FAC-B-CC-001,CTB-RTL-002,300000,300000,277337.09,22662.91,92.4,N,30,,Revolving / stress,,
2025-10-11,FAC-B-CC-001,CTB-RTL-002,300000,300000,273875.83,26124.17,91.3,N,30,,Revolving / stress,,
2025-10-12,FAC-B-CC-001,CTB-RTL-002,300000,300000,277068.45,22931.55,92.4,N,30,,Revolving / stress,,
2025-10-13,FAC-B-CC-001,CTB-RTL-002,300000,300000,290782.71,9217.29,96.9,N,30,,Revolving / stress,,
2025-10-14,FAC-B-CC-001,CTB-RTL-002,300000,300000,279679.63,20320.37,93.2,N,30,,Revolving / stress,,
2025-10-15,FAC-B-CC-001,CTB-RTL-002,300000,300000,280355.45,19644.55,93.5,N,30,,Revolving / stress,,
2025-10-16,FAC-B-CC-001,CTB-RTL-002,300000,300000,275114.79,24885.21,91.7,N,30,,Revolving / stress,,
2025-10-17,FAC-B-CC-001,CTB-RTL-002,300000,300000,286296.16,13703.84,95.4,N,30,,Revolving / stress,,
2025-10-18,FAC-B-CC-001,CTB-RTL-002,300000,300000,284475.26,15524.74,94.8,N,30,,Revolving / stress,,
2025-10-19,FAC-B-CC-001,CTB-RTL-002,300000,300000,287139.46,12860.54,95.7,N,30,,Revolving / stress,,
2025-10-20,FAC-B-CC-001,CTB-RTL-002,300000,300000,280271.48,19728.52,93.4,N,30,,Revolving / stress,,
2025-10-21,FAC-B-CC-001,CTB-RTL-002,300000,300000,278717.38,21282.62,92.9,N,30,,Revolving / stress,,
2025-10-22,FAC-B-CC-001,CTB-RTL-002,300000,300000,289915.8,10084.2,96.6,N,30,,Revolving / stress,,
2025-10-23,FAC-B-CC-001,CTB-RTL-002,300000,300000,286086.55,13913.45,95.4,N,30,,Revolving / stress,,
2025-10-24,FAC-B-CC-001,CTB-RTL-002,300000,300000,287151.99,12848.01,95.7,N,30,,Revolving / stress,,
2025-10-25,FAC-B-CC-001,CTB-RTL-002,300000,300000,285848.63,14151.37,95.3,N,30,,Revolving / stress,,
2025-10-26,FAC-B-CC-001,CTB-RTL-002,300000,300000,274686.04,25313.96,91.6,N,30,,Revolving / stress,,
2025-10-27,FAC-B-CC-001,CTB-RTL-002,300000,300000,288469.44,11530.56,96.2,N,30,,Revolving / stress,,
2025-10-28,FAC-B-CC-001,CTB-RTL-002,300000,300000,276091.57,23908.43,92.0,N,30,,Revolving / stress,,
2025-10-29,FAC-B-CC-001,CTB-RTL-002,300000,300000,289401.35,10598.65,96.5,N,30,,Revolving / stress,,
2025-10-30,FAC-B-CC-001,CTB-RTL-002,300000,300000,289783.22,10216.78,96.6,N,30,,Revolving / stress,,
2025-10-31,FAC-B-CC-001,CTB-RTL-002,300000,300000,290629.6,9370.4,96.9,N,30,Y,Revolving / stress,,
2025-11-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,277494.07,22505.93,92.5,N,30,,Revolving / stress,,
2025-11-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,285740.22,14259.78,95.2,N,30,,Revolving / stress,,
2025-11-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,287094.62,12905.38,95.7,N,30,,Revolving / stress,,
2025-11-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,288904.91,11095.09,96.3,N,30,,Revolving / stress,,
